Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
1,'3+9=0','9-9=0',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;9;=;0','9;-;9;=;0'
2,'5+0=-3','5-8=-3',plus_to_minus,1,+,-,2,0,8,,,,,,,'5;+;0;=;-;3','5;-;8;=;-;3'
3,'0+2=6','8-2=6',plus_to_minus,1,+,-,0,0,8,,,,,,,'0;+;2;=;6','8;-;2;=;6'
4,'-5+-4=-2','-6--4=-2',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;4;=;-;2','-;6;-;-;4;=;-;2'
5,'-2+-9=1','-2--9=7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;2;+;-;9;=;1','-;2;-;-;9;=;7'
6,'-2+-1=5','-2--7=5',plus_to_minus,2,+,-,4,1,7,,,,,,,'-;2;+;-;1;=;5','-;2;-;-;7;=;5'
7,'0+-9=3','0--9=9',plus_to_minus,1,+,-,5,3,9,,,,,,,'0;+;-;9;=;3','0;-;-;9;=;9'
8,'9+4=4','8-4=4',plus_to_minus,1,+,-,0,9,8,,,,,,,'9;+;4;=;4','8;-;4;=;4'
9,'3+9=0','9-9=0',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;9;=;0','9;-;9;=;0'
10,'2+1=-5','2-7=-5',plus_to_minus,1,+,-,2,1,7,,,,,,,'2;+;1;=;-;5','2;-;7;=;-;5'
11,'-5+-2=-4','-6--2=-4',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;2;=;-;4','-;6;-;-;2;=;-;4'
12,'0+-9=3','0--9=9',plus_to_minus,1,+,-,5,3,9,,,,,,,'0;+;-;9;=;3','0;-;-;9;=;9'
13,'-6+0=-5','-6-0=-6',plus_to_minus,2,+,-,6,5,6,,,,,,,'-;6;+;0;=;-;5','-;6;-;0;=;-;6'
14,'-3+-5=-4','-9--5=-4',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;5;=;-;4','-;9;-;-;5;=;-;4'
15,'-1+-5=-2','-7--5=-2',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;-;5;=;-;2','-;7;-;-;5;=;-;2'
16,'4+1=-3','4-7=-3',plus_to_minus,1,+,-,2,1,7,,,,,,,'4;+;1;=;-;3','4;-;7;=;-;3'
17,'-4+5=-3','-4-5=-9',plus_to_minus,2,+,-,6,3,9,,,,,,,'-;4;+;5;=;-;3','-;4;-;5;=;-;9'
18,'-3+-4=-5','-9--4=-5',plus_to_minus,2,+,-,1,3,9,,,,,,,'-;3;+;-;4;=;-;5','-;9;-;-;4;=;-;5'
19,'3+0=9','9-0=9',plus_to_minus,1,+,-,0,3,9,,,,,,,'3;+;0;=;9','9;-;0;=;9'
20,'-5+3=-9','-6-3=-9',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;3;=;-;9','-;6;-;3;=;-;9'
21,'-5+-3=-3','-6--3=-3',plus_to_minus,2,+,-,1,5,6,,,,,,,'-;5;+;-;3;=;-;3','-;6;-;-;3;=;-;3'
22,'2+-5=1','2--5=7',plus_to_minus,1,+,-,5,1,7,,,,,,,'2;+;-;5;=;1','2;-;-;5;=;7'
23,'-1+-6=-1','-7--6=-1',plus_to_minus,2,+,-,1,1,7,,,,,,,'-;1;+;-;6;=;-;1','-;7;-;-;6;=;-;1'
24,'-3+4=-1','-3-4=-7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;3;+;4;=;-;1','-;3;-;4;=;-;7'
25,'-2+-9=1','-2--9=7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;2;+;-;9;=;1','-;2;-;-;9;=;7'
26,'-6+1=-1','-6-1=-7',plus_to_minus,2,+,-,6,1,7,,,,,,,'-;6;+;1;=;-;1','-;6;-;1;=;-;7'
