Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
1,1+2=2,1+2=3,within_glyph,4,2,3,,,,,,,,,,'1;+;2;=;2','1;+;2;=;3'
2,3-0=5,5-0=5,within_glyph,0,3,5,,,,,,,,,,'3;-;0;=;5','5;-;0;=;5'
3,7-7=9,7-7=0,within_glyph,4,9,0,,,,,,,,,,'7;-;7;=;9','7;-;7;=;0'
4,9-9=6,9-9=0,within_glyph,4,6,0,,,,,,,,,,'9;-;9;=;6','9;-;9;=;0'
5,9=3+9,9=3+6,within_glyph,4,9,6,,,,,,,,,,'9;=;3;+;9','9;=;3;+;6'
6,'0+1=7','8-1=7',operator_number,1,+,-,0,0,8,,,,,,,'0;+;1;=;7','8;-;1;=;7'
7,6+5=4,6+5=11,splitmerge_4_11,4,4,11,,,,,,,,,,'6;+;5;=;4','6;+;5;=;11'
8,5-1=6,6-1=5,one_move_same_segment,4,6,5,0,5,6,,,,,,,'5;-;1;=;6','6;-;1;=;5'
9,4+1=17,4+7=11,one_move_same_segment,5,7,1,2,1,7,4,1,7,,,,'4;+;1;=;1;7','4;+;7;=;11'
10,'2-4=8','2+4=6',operator_number,4,8,6,1,-,+,,,,,,,'2;-;4;=;8','2;+;4;=;6'
