Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
1,3+11=7,3+4=7,splitmerge_4_11,2,11,4,,,,,,,,,,'3;+;11;=;7','3;+;4;=;7'
2,'0+2=6','8-2=6',operator_number,1,+,-,0,0,8,,,,,,,'0;+;2;=;6','8;-;2;=;6'
3,6+0=15,6+9=15,within_glyph,2,0,9,,,,,,,,,,'6;+;0;=;1;5','6;+;9;=;1;5'
4,7+6=1,1+6=7,one_move_same_segment,0,7,1,4,1,7,,,,,,,'7;+;6;=;1','1;+;6;=;7'
5,4+0=11,4+0=4,splitmerge_4_11,4,11,4,,,,,,,,,,'4;+;0;=;11','4;+;0;=;4'
6,6-3=1,6-5=1,within_glyph,2,3,5,,,,,,,,,,'6;-;3;=;1','6;-;5;=;1'
7,3=6-2,3=6-3,within_glyph,4,2,3,,,,,,,,,,'3;=;6;-;2','3;=;6;-;3'
8,8+4=19,8+11=19,splitmerge_4_11,2,4,11,,,,,,,,,,'8;+;4;=;1;9','8;+;11;=;1;9'
9,8+5=11,8+3=11,within_glyph,2,5,3,,,,,,,,,,'8;+;5;=;11','8;+;3;=;11'
10,9+11=18,8+11=19,one_move_same_segment,5,8,9,0,9,8,,,,,,,'9;+;11;=;1;8','8;+;11;=;1;9'
11,0+3=2,0+3=3,within_glyph,4,2,3,,,,,,,,,,'0;+;3;=;2','0;+;3;=;3'
12,6+8=17,9+8=17,within_glyph,0,6,9,,,,,,,,,,'6;+;8;=;1;7','9;+;8;=;1;7'
13,19=5+11,16=5+11,within_glyph,1,9,6,,,,,,,,,,'1;9;=;5;+;11','1;6;=;5;+;11'
14,0+3=5,0+3=3,within_glyph,4,5,3,,,,,,,,,,'0;+;3;=;5','0;+;3;=;3'
15,2+6=11,2+9=11,within_glyph,2,6,9,,,,,,,,,,'2;+;6;=;11','2;+;9;=;11'
16,'0+3=5','8-3=5',operator_number,1,+,-,0,0,8,,,,,,,'0;+;3;=;5','8;-;3;=;5'
17,9-0=0,9-0=9,within_glyph,4,0,9,,,,,,,,,,'9;-;0;=;0','9;-;0;=;9'
18,'0+5=3','8-5=3',operator_number,1,+,-,0,0,8,,,,,,,'0;+;5;=;3','8;-;5;=;3'
19,1+3=70,7+3=10,one_move_same_segment,4,7,1,0,1,7,,,,,,,'1;+;3;=;7;0','7;+;3;=;1;0'
20,5+0=14,5+9=14,within_glyph,2,0,9,,,,,,,,,,'5;+;0;=;1;4','5;+;9;=;1;4'
21,6+7=15,6+7=13,within_glyph,5,5,3,,,,,,,,,,'6;+;7;=;1;5','6;+;7;=;1;3'
22,5+8=15,5+8=13,within_glyph,5,5,3,,,,,,,,,,'5;+;8;=;1;5','5;+;8;=;1;3'
23,0+5=11,6+5=11,within_glyph,0,0,6,,,,,,,,,,'0;+;5;=;11','6;+;5;=;11'
24,'0+6=2','8-6=2',operator_number,1,+,-,0,0,8,,,,,,,'0;+;6;=;2','8;-;6;=;2'
25,0+11=17,6+11=17,within_glyph,0,0,6,,,,,,,,,,'0;+;11;=;1;7','6;+;11;=;1;7'
26,'0+7=1','8-7=1',operator_number,1,+,-,0,0,8,,,,,,,'0;+;7;=;1','8;-;7;=;1'
27,2+11=12,2+11=13,within_glyph,5,2,3,,,,,,,,,,'2;+;11;=;1;2','2;+;11;=;1;3'
28,15=9+9,15=9+6,within_glyph,5,9,6,,,,,,,,,,'1;5;=;9;+;9','1;5;=;9;+;6'
29,3-9=3,3-0=3,within_glyph,2,9,0,,,,,,,,,,'3;-;9;=;3','3;-;0;=;3'
30,11+4=22,11+11=22,splitmerge_4_11,2,4,11,,,,,,,,,,'11;+;4;=;2;2','11;+;11;=;2;2'
31,0+3=12,9+3=12,within_glyph,0,0,9,,,,,,,,,,'0;+;3;=;1;2','9;+;3;=;1;2'
32,6=0-6,6-0=6,one_move_same_segment,1,=,-,3,-,=,,,,,,,'6;=;0;-;6','6;-;0;=;6'
33,9-9=9,9-9=0,within_glyph,4,9,0,,,,,,,,,,'9;-;9;=;9','9;-;9;=;0'
