Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
1,'65+66=53','65-6-6=53',,2,+,-,,,,,,,,,,'6;5;+;6;6;=;5;3','6;5;-;6;-;6;=;5;3'
2,'28+18=186','28+78=106',digit_to_digit,7,8,0,3,1,7,,,,,,,'2;8;+;1;8;=;1;8;6','2;8;+;7;8;=;1;0;6'
3,'31+71=708','31+77=108',digit_to_digit,6,7,1,4,1,7,,,,,,,'3;1;+;7;1;=;7;0;8','3;1;+;7;7;=;1;0;8'
4,'48-85=193','48+85=133',op_and_digit_balance,7,9,3,2,-,+,,,,,,,'4;8;-;8;5;=;1;9;3','4;8;+;8;5;=;1;3;3'
5,'23+45=-26','23-49=-26',op_and_digit_balance,2,+,-,4,5,9,,,,,,,'2;3;+;4;5;=;-;2;6','2;3;-;4;9;=;-;2;6'
6,'16-85=-71','15-86=-71',digit_to_digit,1,6,5,4,5,6,,,,,,,'1;6;-;8;5;=;-;7;1','1;5;-;8;6;=;-;7;1'
7,'21-37=-75','21-37=-16',digit_to_digit,7,7,1,8,5,6,,,,,,,'2;1;-;3;7;=;-;7;5','2;1;-;3;7;=;-;1;6'
8,'79+26=93','73+26=99',digit_to_digit,1,9,3,7,3,9,,,,,,,'7;9;+;2;6;=;9;3','7;3;+;2;6;=;9;9'
9,'86-47=29','86-47=39',within_digit,6,2,3,,,,,,,,,,'8;6;-;4;7;=;2;9','8;6;-;4;7;=;3;9'
10,'92-27=113','92+21=113',op_and_digit_balance,4,7,1,2,-,+,,,,,,,'9;2;-;2;7;=;11;3','9;2;+;2;1;=;11;3'
11,'49=87--38','49-87=-38',swap_-_and_=,2,=,-,5,-,=,,,,,,,'4;9;=;8;7;-;-;3;8','4;9;-;8;7;=;-;3;8'
12,'57-29=74','97-23=74',digit_to_digit,4,9,3,0,5,9,,,,,,,'5;7;-;2;9;=;7;4','9;7;-;2;3;=;7;4'
13,'93+52=31','83-52=31',op_and_digit_balance,2,+,-,0,9,8,,,,,,,'9;3;+;5;2;=;3;1','8;3;-;5;2;=;3;1'
14,'46+15=127','46+75=121',digit_to_digit,8,7,1,3,1,7,,,,,,,'4;6;+;1;5;=;1;2;7','4;6;+;7;5;=;1;2;1'
15,'95-49=58','99-49=50',digit_to_digit,7,8,0,1,5,9,,,,,,,'9;5;-;4;9;=;5;8','9;9;-;4;9;=;5;0'
16,'62+14=98','82+14=96',digit_to_digit,7,8,6,0,6,8,,,,,,,'6;2;+;1;4;=;9;8','8;2;+;1;4;=;9;6'
17,'31-85=26','91-65=26',digit_to_digit,3,8,6,0,3,9,,,,,,,'3;1;-;8;5;=;2;6','9;1;-;6;5;=;2;6'
18,'67-64=33','87-54=33',digit_to_digit,3,6,5,0,6,8,,,,,,,'6;7;-;6;4;=;3;3','8;7;-;5;4;=;3;3'
19,'20+95=79','20+59=79',digit_to_digit,3,9,5,4,5,9,,,,,,,'2;0;+;9;5;=;7;9','2;0;+;5;9;=;7;9'
20,'75+48=53','15+48=63',digit_to_digit,0,7,1,6,5,6,,,,,,,'7;5;+;4;8;=;5;3','1;5;+;4;8;=;6;3'
21,'14+18=84','74+10=84',digit_to_digit,4,8,0,0,1,7,,,,,,,'1;4;+;1;8;=;8;4','7;4;+;1;0;=;8;4'
22,'54-61=105','54+51=105',op_and_digit_balance,3,6,5,2,-,+,,,,,,,'5;4;-;6;1;=;1;0;5','5;4;+;5;1;=;1;0;5'
23,'88-51=-9','88-91=-3',digit_to_digit,7,9,3,3,5,9,,,,,,,'8;8;-;5;1;=;-;9','8;8;-;9;1;=;-;3'
24,'90+53=193','90+63=153',digit_to_digit,7,9,5,3,5,6,,,,,,,'9;0;+;5;3;=;1;9;3','9;0;+;6;3;=;1;5;3'
25,'20-18=3','20-18=2',within_digit,6,3,2,,,,,,,,,,'2;0;-;1;8;=;3','2;0;-;1;8;=;2'
26,'59-35=29','58-35=23',digit_to_digit,7,9,3,1,9,8,,,,,,,'5;9;-;3;5;=;2;9','5;8;-;3;5;=;2;3'
27,'96+16=20','96-76=20',op_and_digit_balance,2,+,-,3,1,7,,,,,,,'9;6;+;1;6;=;2;0','9;6;-;7;6;=;2;0'
28,'78=70-8','78-70=8',swap_-_and_=,2,=,-,5,-,=,,,,,,,'7;8;=;7;0;-;8','7;8;-;7;0;=;8'
29,'10-84=-711','10-84=-74',four_eleven,8,11,4,,,,,,,,,,'1;0;-;8;4;=;-;7;11','1;0;-;8;4;=;-;7;4'
30,'58-49=55','98-43=55',digit_to_digit,4,9,3,0,5,9,,,,,,,'5;8;-;4;9;=;5;5','9;8;-;4;3;=;5;5'
31,'39+50=49','99-50=49',op_and_digit_balance,2,+,-,0,3,9,,,,,,,'3;9;+;5;0;=;4;9','9;9;-;5;0;=;4;9'
32,'37-50=81','31+50=81',op_and_digit_balance,1,7,1,2,-,+,,,,,,,'3;7;-;5;0;=;8;1','3;1;+;5;0;=;8;1'
33,'35+90=-63','35-98=-63',op_and_digit_balance,2,+,-,4,0,8,,,,,,,'3;5;+;9;0;=;-;6;3','3;5;-;9;8;=;-;6;3'
34,'28-45=-78','28-46=-18',digit_to_digit,7,7,1,4,5,6,,,,,,,'2;8;-;4;5;=;-;7;8','2;8;-;4;6;=;-;1;8'
35,'28-90=-10','20-90=-70',digit_to_digit,1,8,0,7,1,7,,,,,,,'2;8;-;9;0;=;-;1;0','2;0;-;9;0;=;-;7;0'
36,'84-21=109','84+21=105',op_and_digit_balance,8,9,5,2,-,+,,,,,,,'8;4;-;2;1;=;1;0;9','8;4;+;2;1;=;1;0;5'
37,'25-78=11','29-18=11',digit_to_digit,3,7,1,1,5,9,,,,,,,'2;5;-;7;8;=;11','2;9;-;1;8;=;11'
38,'66-43=108','65+43=108',op_and_digit_balance,1,6,5,2,-,+,,,,,,,'6;6;-;4;3;=;1;0;8','6;5;+;4;3;=;1;0;8'
39,'19+17=1','18-17=1',op_and_digit_balance,2,+,-,1,9,8,,,,,,,'1;9;+;1;7;=;1','1;8;-;1;7;=;1'
40,'13+83=-64','19-83=-64',op_and_digit_balance,2,+,-,1,3,9,,,,,,,'1;3;+;8;3;=;-;6;4','1;9;-;8;3;=;-;6;4'
41,'74-62=126','74+52=126',op_and_digit_balance,3,6,5,2,-,+,,,,,,,'7;4;-;6;2;=;1;2;6','7;4;+;5;2;=;1;2;6'
42,'50-86=116','50+66=116',op_and_digit_balance,3,8,6,2,-,+,,,,,,,'5;0;-;8;6;=;11;6','5;0;+;6;6;=;11;6'
43,'19-12=25','13+12=25',op_and_digit_balance,1,9,3,2,-,+,,,,,,,'1;9;-;1;2;=;2;5','1;3;+;1;2;=;2;5'
44,'19+34=43','19+24=43',within_digit,3,3,2,,,,,,,,,,'1;9;+;3;4;=;4;3','1;9;+;2;4;=;4;3'
45,'87-28=107','87+20=107',op_and_digit_balance,4,8,0,2,-,+,,,,,,,'8;7;-;2;8;=;1;0;7','8;7;+;2;0;=;1;0;7'
46,'16+22=54','76-22=54',op_and_digit_balance,2,+,-,0,1,7,,,,,,,'1;6;+;2;2;=;5;4','7;6;-;2;2;=;5;4'
47,'65-28=28','56-28=28',digit_to_digit,0,6,5,1,5,6,,,,,,,'6;5;-;2;8;=;2;8','5;6;-;2;8;=;2;8'
48,'15+49=611','15+49=64',four_eleven,7,11,4,,,,,,,,,,'1;5;+;4;9;=;6;11','1;5;+;4;9;=;6;4'
49,'17+81=80','17+81=98',digit_to_digit,6,8,9,7,0,8,,,,,,,'1;7;+;8;1;=;8;0','1;7;+;8;1;=;9;8'
50,'58-24=311','58-24=34',four_eleven,7,11,4,,,,,,,,,,'5;8;-;2;4;=;3;11','5;8;-;2;4;=;3;4'
51,'80+67=741','80+67=147',digit_to_digit,6,7,1,8,1,7,,,,,,,'8;0;+;6;7;=;7;4;1','8;0;+;6;7;=;1;4;7'
52,'55=28-27','55-28=27',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;5;=;2;8;-;2;7','5;5;-;2;8;=;2;7'
53,'50=17-33','50-17=33',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;0;=;1;7;-;3;3','5;0;-;1;7;=;3;3'
54,'18-27=43','16+27=43',op_and_digit_balance,1,8,6,2,-,+,,,,,,,'1;8;-;2;7;=;4;3','1;6;+;2;7;=;4;3'
55,'91+29=52','91-29=62',op_and_digit_balance,2,+,-,6,5,6,,,,,,,'9;1;+;2;9;=;5;2','9;1;-;2;9;=;6;2'
56,'15+82=181','19+82=101',digit_to_digit,7,8,0,1,5,9,,,,,,,'1;5;+;8;2;=;1;8;1','1;9;+;8;2;=;1;0;1'
57,'83-83=168','83+83=166',op_and_digit_balance,8,8,6,2,-,+,,,,,,,'8;3;-;8;3;=;1;6;8','8;3;+;8;3;=;1;6;6'
58,'20-75=-45','30-75=-45',within_digit,0,2,3,,,,,,,,,,'2;0;-;7;5;=;-;4;5','3;0;-;7;5;=;-;4;5'
59,'45+44=2','46-44=2',op_and_digit_balance,2,+,-,1,5,6,,,,,,,'4;5;+;4;4;=;2','4;6;-;4;4;=;2'
60,'35-68=-92','36-68=-32',digit_to_digit,7,9,3,1,5,6,,,,,,,'3;5;-;6;8;=;-;9;2','3;6;-;6;8;=;-;3;2'
61,'44-89=143','44+99=143',op_and_digit_balance,3,8,9,2,-,+,,,,,,,'4;4;-;8;9;=;1;4;3','4;4;+;9;9;=;1;4;3'
62,'34+49=71','34+43=77',digit_to_digit,4,9,3,7,1,7,,,,,,,'3;4;+;4;9;=;7;1','3;4;+;4;3;=;7;7'
63,'72-43=119','72+43=115',op_and_digit_balance,7,9,5,2,-,+,,,,,,,'7;2;-;4;3;=;11;9','7;2;+;4;3;=;11;5'
64,'17+44=127','77+44=121',digit_to_digit,8,7,1,0,1,7,,,,,,,'1;7;+;4;4;=;1;2;7','7;7;+;4;4;=;1;2;1'
65,'96=51-45','96-51=45',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;6;=;5;1;-;4;5','9;6;-;5;1;=;4;5'
66,'52+54=-12','52-64=-12',op_and_digit_balance,2,+,-,3,5,6,,,,,,,'5;2;+;5;4;=;-;1;2','5;2;-;6;4;=;-;1;2'
67,'88-62=35','98-62=36',digit_to_digit,0,8,9,7,5,6,,,,,,,'8;8;-;6;2;=;3;5','9;8;-;6;2;=;3;6'
68,'67+91=172','81+91=172',digit_to_digit,1,7,1,0,6,8,,,,,,,'6;7;+;9;1;=;1;7;2','8;1;+;9;1;=;1;7;2'
69,'89-79=1','80-79=1',within_digit,1,9,0,,,,,,,,,,'8;9;-;7;9;=;1','8;0;-;7;9;=;1'
70,'68+36=1011','68+36=104',four_eleven,8,11,4,,,,,,,,,,'6;8;+;3;6;=;1;0;11','6;8;+;3;6;=;1;0;4'
71,'68+51=725','68+57=125',digit_to_digit,6,7,1,4,1,7,,,,,,,'6;8;+;5;1;=;7;2;5','6;8;+;5;7;=;1;2;5'
72,'95=77-18','95-77=18',swap_-_and_=,2,=,-,5,-,=,,,,,,,'9;5;=;7;7;-;1;8','9;5;-;7;7;=;1;8'
73,'30+21=5','30-21=9',op_and_digit_balance,2,+,-,6,5,9,,,,,,,'3;0;+;2;1;=;5','3;0;-;2;1;=;9'
74,'97-39=67','97-30=67',within_digit,4,9,0,,,,,,,,,,'9;7;-;3;9;=;6;7','9;7;-;3;0;=;6;7'
75,'19+68=19','19+60=79',digit_to_digit,4,8,0,6,1,7,,,,,,,'1;9;+;6;8;=;1;9','1;9;+;6;0;=;7;9'
76,'15+85=107','16+85=101',digit_to_digit,8,7,1,1,5,6,,,,,,,'1;5;+;8;5;=;1;0;7','1;6;+;8;5;=;1;0;1'
77,'43-95=0','43-35=8',digit_to_digit,3,9,3,6,0,8,,,,,,,'4;3;-;9;5;=;0','4;3;-;3;5;=;8'
78,'94-70=104','34+70=104',op_and_digit_balance,0,9,3,2,-,+,,,,,,,'9;4;-;7;0;=;1;0;4','3;4;+;7;0;=;1;0;4'
79,'45+91=36','45+51=96',digit_to_digit,3,9,5,6,3,9,,,,,,,'4;5;+;9;1;=;3;6','4;5;+;5;1;=;9;6'
80,'38-88=9','98-89=9',digit_to_digit,4,8,9,0,3,9,,,,,,,'3;8;-;8;8;=;9','9;8;-;8;9;=;9'
81,'55=17-38','55-17=38',swap_-_and_=,2,=,-,5,-,=,,,,,,,'5;5;=;1;7;-;3;8','5;5;-;1;7;=;3;8'
