Stage,Start_Equation,Target_Equation,ChangeType,ChangedIndex1,From1,To1,ChangedIndex2,From2,To2,ChangedIndex3,From3,To3,ChangedIndex4,From4,To4,Start_Tokens,Target_Tokens
1,'-4+-2=-0','-4+-2=-6',single,7,0,6,,,,,,,,,,'-;4;+;-;2;=;-;0','-;4;+;-;2;=;-;6'
2,'-3=-9--4','-5=-9--4',single,1,3,5,,,,,,,,,,'-;3;=;-;9;-;-;4','-;5;=;-;9;-;-;4'
3,'-9+9=6','-9+9=0',single,5,6,0,,,,,,,,,,'-;9;+;9;=;6','-;9;+;9;=;0'
4,'11+-8=5','11+-8=3',single,5,5,3,,,,,,,,,,'11;+;-;8;=;5','11;+;-;8;=;3'
5,'3+-2=3','5+-2=3',single,0,3,5,,,,,,,,,,'3;+;-;2;=;3','5;+;-;2;=;3'
6,'-3--4=2','-2--4=2',single,1,3,2,,,,,,,,,,'-;3;-;-;4;=;2','-;2;-;-;4;=;2'
7,'-11+1=-3','-4+1=-3',single,1,11,4,,,,,,,,,,'-;11;+;1;=;-;3','-;4;+;1;=;-;3'
8,'9=-2+4','9=-2+11',single,5,4,11,,,,,,,,,,'9;=;-;2;+;4','9;=;-;2;+;11'
9,'-11--2=-2','-4--2=-2',single,1,11,4,,,,,,,,,,'-;11;-;-;2;=;-;2','-;4;-;-;2;=;-;2'
10,'-2=-1+-2','-3=-1+-2',single,1,2,3,,,,,,,,,,'-;2;=;-;1;+;-;2','-;3;=;-;1;+;-;2'
11,'-4+3=-2','-4+2=-2',single,3,3,2,,,,,,,,,,'-;4;+;3;=;-;2','-;4;+;2;=;-;2'
12,'-5--0=1','-5--6=1',single,4,0,6,,,,,,,,,,'-;5;-;-;0;=;1','-;5;-;-;6;=;1'
13,'9=-3--3','0=-3--3',single,0,9,0,,,,,,,,,,'9;=;-;3;-;-;3','0;=;-;3;-;-;3'
14,'-6+1=7','-6+7=1',multi,5,7,1,3,1,7,,,,,,,'-;6;+;1;=;7','-;6;+;7;=;1'
15,'-1+8=9','-1+9=8',multi,3,8,9,5,9,8,,,,,,,'-;1;+;8;=;9','-;1;+;9;=;8'
16,'2+-2=9','2+-2=0',single,5,9,0,,,,,,,,,,'2;+;-;2;=;9','2;+;-;2;=;0'
17,'1+-5=-2','1+-3=-2',single,3,5,3,,,,,,,,,,'1;+;-;5;=;-;2','1;+;-;3;=;-;2'
18,'-5--8=5','-3--8=5',single,1,5,3,,,,,,,,,,'-;5;-;-;8;=;5','-;3;-;-;8;=;5'
19,'-6=-7-1','-6--7=1',multi,2,=,-,5,-,=,,,,,,,'-;6;=;-;7;-;1','-;6;-;-;7;=;1'
20,'-2=-11+6','-2=-11+9',single,6,6,9,,,,,,,,,,'-;2;=;-;11;+;6','-;2;=;-;11;+;9'
21,'3+-11=-6','5+-11=-6',single,0,3,5,,,,,,,,,,'3;+;-;11;=;-;6','5;+;-;11;=;-;6'
22,'-7+-6=-15','-7+-6=-13',single,8,5,3,,,,,,,,,,'-;7;+;-;6;=;-;1;5','-;7;+;-;6;=;-;1;3'
23,'-4--1=-10','-11--1=-10',single,1,4,11,,,,,,,,,,'-;4;-;-;1;=;-;1;0','-;11;-;-;1;=;-;1;0'
24,'-4+-5=-16','-11+-5=-16',single,1,4,11,,,,,,,,,,'-;4;+;-;5;=;-;1;6','-;11;+;-;5;=;-;1;6'
25,'-1+0=5','-1+6=5',single,3,0,6,,,,,,,,,,'-;1;+;0;=;5','-;1;+;6;=;5'
26,'-2--5=2','-3--5=2',single,1,2,3,,,,,,,,,,'-;2;-;-;5;=;2','-;3;-;-;5;=;2'
27,'-3=-0--3','-3=-6--3',single,4,0,6,,,,,,,,,,'-;3;=;-;0;-;-;3','-;3;=;-;6;-;-;3'
28,'-14=-9+-8','-14=-6+-8',single,5,9,6,,,,,,,,,,'-;1;4;=;-;9;+;-;8','-;1;4;=;-;6;+;-;8'
29,'-4+4=-7','-11+4=-7',single,1,4,11,,,,,,,,,,'-;4;+;4;=;-;7','-;11;+;4;=;-;7'
30,'-2--4=1','-3--4=1',single,1,2,3,,,,,,,,,,'-;2;-;-;4;=;1','-;3;-;-;4;=;1'
31,'-3+-0=-12','-3+-9=-12',single,4,0,9,,,,,,,,,,'-;3;+;-;0;=;-;1;2','-;3;+;-;9;=;-;1;2'
32,'-7+1=-9','-7+1=-6',single,6,9,6,,,,,,,,,,'-;7;+;1;=;-;9','-;7;+;1;=;-;6'
33,'4+-4=-7','4+-11=-7',single,3,4,11,,,,,,,,,,'4;+;-;4;=;-;7','4;+;-;11;=;-;7'
34,'4+-2=1','4+-3=1',single,3,2,3,,,,,,,,,,'4;+;-;2;=;1','4;+;-;3;=;1'
35,'9+-8=-1','8+-9=-1',multi,3,8,9,0,9,8,,,,,,,'9;+;-;8;=;-;1','8;+;-;9;=;-;1'
36,'-6+-9=-3','-6+-3=-9',multi,4,9,3,7,3,9,,,,,,,'-;6;+;-;9;=;-;3','-;6;+;-;3;=;-;9'
37,'-1+9=5','-1+6=5',single,3,9,6,,,,,,,,,,'-;1;+;9;=;5','-;1;+;6;=;5'
38,'6+-3=6','9+-3=6',single,0,6,9,,,,,,,,,,'6;+;-;3;=;6','9;+;-;3;=;6'
39,'3+-1=1','2+-1=1',single,0,3,2,,,,,,,,,,'3;+;-;1;=;1','2;+;-;1;=;1'
40,'-9=-2--7','-9--2=-7',multi,2,=,-,5,-,=,,,,,,,'-;9;=;-;2;-;-;7','-;9;-;-;2;=;-;7'
41,'7+-3=2','7+-5=2',single,3,3,5,,,,,,,,,,'7;+;-;3;=;2','7;+;-;5;=;2'
42,'-5=-2+-2','-5=-2+-3',single,7,2,3,,,,,,,,,,'-;5;=;-;2;+;-;2','-;5;=;-;2;+;-;3'
43,'-8+-2=-11','-8+-3=-11',single,4,2,3,,,,,,,,,,'-;8;+;-;2;=;-;11','-;8;+;-;3;=;-;11'
44,'6+-6=6','6+-6=0',single,5,6,0,,,,,,,,,,'6;+;-;6;=;6','6;+;-;6;=;0'
45,'9=-11--11','0=-11--11',single,0,9,0,,,,,,,,,,'9;=;-;11;-;-;11','0;=;-;11;-;-;11'
46,'-3+9=3','-3+6=3',single,3,9,6,,,,,,,,,,'-;3;+;9;=;3','-;3;+;6;=;3'
