GoogleID,AppleID,Name,Type,DifficultyType,Value
CgkImY6s0PgWEAIQIQ,1,Level 5 Achieved!!,3,0,5
CgkImY6s0PgWEAIQOA,2,Level 10 Achieved!!,3,0,10
CgkImY6s0PgWEAIQPw,3,Level 15 Achieved!!,3,0,15
CgkImY6s0PgWEAIQKg,4,Level 20 Achieved!!,3,0,20
CgkImY6s0PgWEAIQLg,5,Level 25 Achieved!!,3,0,25
CgkImY6s0PgWEAIQGA,6,Level 30 Achieved!!,3,0,30
CgkImY6s0PgWEAIQIg,7,Level 35 Achieved!!,3,0,35
CgkImY6s0PgWEAIQDA,8,Level 40 Achieved!!,3,0,40
CgkImY6s0PgWEAIQDg,9,Level 45 Achieved!!,3,0,45
CgkImY6s0PgWEAIQFw,10,Level 50 Achieved!!,3,0,50
CgkImY6s0PgWEAIQOw,11,Level 55 Achieved!!,3,0,55
CgkImY6s0PgWEAIQRA,12,Level 60 Achieved!!,3,0,60
CgkImY6s0PgWEAIQKA,13,Level 65 Achieved!!,3,0,65
CgkImY6s0PgWEAIQNQ,14,Level 70 Achieved!!,3,0,70
CgkImY6s0PgWEAIQHQ,15,Level 75 Achieved!!,3,0,75
CgkImY6s0PgWEAIQJg,16,Level 80 Achieved!!,3,0,80
CgkImY6s0PgWEAIQCQ,17,Level 85 Achieved!!,3,0,85
CgkImY6s0PgWEAIQFQ,18,Level 90 Achieved!!,3,0,90
CgkImY6s0PgWEAIQNw,19,Level 95 Achieved!!,3,0,95
CgkImY6s0PgWEAIQLw,20,Level 100 Achieved!!,3,0,100
CgkImY6s0PgWEAIQMw,21,Level 105 Achieved!!,3,0,105
CgkImY6s0PgWEAIQPQ,22,Level 110 Achieved!!,3,0,110
CgkImY6s0PgWEAIQQg,23,Level 115 Achieved!!,3,0,115
CgkImY6s0PgWEAIQCg,24,Level 120 Achieved!!,3,0,120
CgkImY6s0PgWEAIQFg,25,Level 125 Achieved!!,3,0,125
CgkImY6s0PgWEAIQGg,26,Level 130 Achieved!!,3,0,130
CgkImY6s0PgWEAIQHg,27,Level 135 Achieved!!,3,0,135
CgkImY6s0PgWEAIQKQ,28,Level 140 Achieved!!,3,0,140
CgkImY6s0PgWEAIQLQ,29,Level 145 Achieved!!,3,0,145
CgkImY6s0PgWEAIQOg,30,Level 150 Achieved!!,3,0,150
CgkImY6s0PgWEAIQPA,31,Level 155 Achieved!!,3,0,155
CgkImY6s0PgWEAIQEg,32,Level 160 Achieved!!,3,0,160
CgkImY6s0PgWEAIQEQ,33,Level 165 Achieved!!,3,0,165
CgkImY6s0PgWEAIQIw,34,Level 170 Achieved!!,3,0,170
CgkImY6s0PgWEAIQGQ,35,Level 175 Achieved!!,3,0,175
CgkImY6s0PgWEAIQMg,36,Level 180 Achieved!!,3,0,180
CgkImY6s0PgWEAIQJw,37,Level 185 Achieved!!,3,0,185
CgkImY6s0PgWEAIQQQ,38,Level 190 Achieved!!,3,0,190
CgkImY6s0PgWEAIQOQ,39,Level 195 Achieved!!,3,0,195
CgkImY6s0PgWEAIQEA,40,Level 200 Achieved!!,3,0,200
CgkImY6s0PgWEAIQFA,41,Level 205 Achieved!!,3,0,205
CgkImY6s0PgWEAIQIA,42,Level 210 Achieved!!,3,0,210
CgkImY6s0PgWEAIQJQ,43,Level 215 Achieved!!,3,0,215
CgkImY6s0PgWEAIQMQ,44,Level 220 Achieved!!,3,0,220
CgkImY6s0PgWEAIQNA,45,Level 225 Achieved!!,3,0,225
CgkImY6s0PgWEAIQNg,46,Level 230 Achieved!!,3,0,230
CgkImY6s0PgWEAIQQw,47,Level 235 Achieved!!,3,0,235
CgkImY6s0PgWEAIQDQ,48,Level 240 Achieved!!,3,0,240
CgkImY6s0PgWEAIQDw,49,Level 245 Achieved!!,3,0,245
CgkImY6s0PgWEAIQHA,50,Level 250 Achieved!!,3,0,250
CgkImY6s0PgWEAIQHw,51,Level 255 Achieved!!,3,0,255
CgkImY6s0PgWEAIQKw,52,Level 260 Achieved!!,3,0,260
CgkImY6s0PgWEAIQMA,53,Level 265 Achieved!!,3,0,265
CgkImY6s0PgWEAIQQA,54,Level 270 Achieved!!,3,0,270
CgkImY6s0PgWEAIQPg,55,Level 275 Achieved!!,3,0,275
CgkImY6s0PgWEAIQEw,56,Level 280 Achieved!!,3,0,280
CgkImY6s0PgWEAIQCw,57,Level 285 Achieved!!,3,0,285
CgkImY6s0PgWEAIQJA,58,Level 290 Achieved!!,3,0,290
CgkImY6s0PgWEAIQGw,59,Level 295 Achieved!!,3,0,295
CgkImY6s0PgWEAIQLA,60,Level 300 Achieved!!,3,0,300
