Level,RequiredXP,CumulativeXP,RewardGold,RewardHint,RewardTicket,RewardChange
1,12,12,0,0,0,0
2,15,27,20,1,1,1
3,18,45,20,1,1,1
4,21,66,20,1,1,1
5,24,90,20,1,1,1
6,27,117,20,1,1,1
7,30,147,20,1,1,1
8,33,180,20,1,1,1
9,36,216,20,1,1,1
10,39,255,20,1,1,1
11,42,297,20,1,1,1
12,45,342,20,1,1,1
13,48,390,20,1,1,1
14,51,441,20,1,1,1
15,54,495,20,1,1,1
16,57,552,20,1,1,1
17,60,612,20,1,1,1
18,63,675,20,1,1,1
19,66,741,20,1,1,1
20,69,810,20,1,1,1
21,72,882,20,1,1,1
22,75,957,20,1,1,1
23,78,1035,20,1,1,1
24,81,1116,20,1,1,1
25,84,1200,20,1,1,1
26,87,1287,20,1,1,1
27,90,1377,20,1,1,1
28,93,1470,20,1,1,1
29,96,1566,20,1,1,1
30,99,1665,20,1,1,1
31,102,1767,20,1,1,1
32,105,1872,20,1,1,1
33,108,1980,20,1,1,1
34,111,2091,20,1,1,1
35,114,2205,20,1,1,1
36,117,2322,20,1,1,1
37,120,2442,20,1,1,1
38,123,2565,20,1,1,1
39,126,2691,20,1,1,1
40,129,2820,20,1,1,1
41,132,2952,20,1,1,1
42,135,3087,20,1,1,1
43,138,3225,20,1,1,1
44,141,3366,20,1,1,1
45,144,3510,20,1,1,1
46,147,3657,20,1,1,1
47,150,3807,20,1,1,1
48,153,3960,20,1,1,1
49,156,4116,20,1,1,1
50,159,4275,20,1,1,1
51,162,4437,20,1,1,1
52,165,4602,20,1,1,1
53,168,4770,20,1,1,1
54,171,4941,20,1,1,1
55,174,5115,20,1,1,1
56,177,5292,20,1,1,1
57,180,5472,20,1,1,1
58,183,5655,20,1,1,1
59,186,5841,20,1,1,1
60,189,6030,20,1,1,1
61,192,6222,20,1,1,1
62,195,6417,20,1,1,1
63,198,6615,20,1,1,1
64,201,6816,20,1,1,1
65,204,7020,20,1,1,1
66,207,7227,20,1,1,1
67,210,7437,20,1,1,1
68,213,7650,20,1,1,1
69,216,7866,20,1,1,1
70,219,8085,20,1,1,1
71,222,8307,20,1,1,1
72,225,8532,20,1,1,1
73,228,8760,20,1,1,1
74,231,8991,20,1,1,1
75,234,9225,20,1,1,1
76,237,9462,20,1,1,1
77,240,9702,20,1,1,1
78,243,9945,20,1,1,1
79,246,10191,20,1,1,1
80,249,10440,20,1,1,1
81,252,10692,20,1,1,1
82,255,10947,20,1,1,1
83,258,11205,20,1,1,1
84,261,11466,20,1,1,1
85,264,11730,20,1,1,1
86,267,11997,20,1,1,1
87,270,12267,20,1,1,1
88,273,12540,20,1,1,1
89,276,12816,20,1,1,1
90,279,13095,20,1,1,1
91,282,13377,20,1,1,1
92,285,13662,20,1,1,1
93,288,13950,20,1,1,1
94,291,14241,20,1,1,1
95,294,14535,20,1,1,1
96,297,14832,20,1,1,1
97,300,15132,20,1,1,1
98,303,15435,20,1,1,1
99,306,15741,20,1,1,1
100,309,16050,30,1,1,1
101,312,16362,30,1,1,1
102,315,16677,30,1,1,1
103,318,16995,30,1,1,1
104,321,17316,30,1,1,1
105,324,17640,30,1,1,1
106,327,17967,30,1,1,1
107,330,18297,30,1,1,1
108,333,18630,30,1,1,1
109,336,18966,30,1,1,1
110,339,19305,30,1,1,1
111,342,19647,30,1,1,1
112,345,19992,30,1,1,1
113,348,20340,30,1,1,1
114,351,20691,30,1,1,1
115,354,21045,30,1,1,1
116,357,21402,30,1,1,1
117,360,21762,30,1,1,1
118,363,22125,30,1,1,1
119,366,22491,30,1,1,1
120,369,22860,30,1,1,1
121,372,23232,30,1,1,1
122,375,23607,30,1,1,1
123,378,23985,30,1,1,1
124,381,24366,30,1,1,1
125,384,24750,30,1,1,1
126,387,25137,30,1,1,1
127,390,25527,30,1,1,1
128,393,25920,30,1,1,1
129,396,26316,30,1,1,1
130,399,26715,30,1,1,1
131,402,27117,30,1,1,1
132,405,27522,30,1,1,1
133,408,27930,30,1,1,1
134,411,28341,30,1,1,1
135,414,28755,30,1,1,1
136,417,29172,30,1,1,1
137,420,29592,30,1,1,1
138,423,30015,30,1,1,1
139,426,30441,30,1,1,1
140,429,30870,30,1,1,1
141,432,31302,30,1,1,1
142,435,31737,30,1,1,1
143,438,32175,30,1,1,1
144,441,32616,30,1,1,1
145,444,33060,30,1,1,1
146,447,33507,30,1,1,1
147,450,33957,30,1,1,1
148,453,34410,30,1,1,1
149,456,34866,30,1,1,1
150,459,35325,30,1,1,1
151,462,35787,30,1,1,1
152,465,36252,30,1,1,1
153,468,36720,30,1,1,1
154,471,37191,30,1,1,1
155,474,37665,30,1,1,1
156,477,38142,30,1,1,1
157,480,38622,30,1,1,1
158,483,39105,30,1,1,1
159,486,39591,30,1,1,1
160,489,40080,30,1,1,1
161,492,40572,30,1,1,1
162,495,41067,30,1,1,1
163,498,41565,30,1,1,1
164,501,42066,30,1,1,1
165,504,42570,30,1,1,1
166,507,43077,30,1,1,1
