ID,MissionType,MissionCategory,DifficultyType,TitleLocalID,SubLocalID,Value,PreID,RewardType,RewardValue,OpenLevel
1,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,5,,Gold,100,1
2,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,10,,Gold,100,1
3,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,30,,Gold,100,1
4,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,50,,Gold,100,1
5,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,77,,Gold,100,1
6,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,100,,Gold,100,1
7,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,150,,Gold,100,1
8,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,200,,Gold,100,1
9,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,250,,Gold,100,1
10,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,300,,Gold,100,1
11,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,350,,Gold,100,1
12,DailyMissionComplete,Main,-1,DailyPlay,DailyPlaySub,400,,Gold,100,1
13,Level,Main,-1,LevelTitle1,LevelSub,5,,Gold,100,1
14,Level,Main,-1,LevelTitle1,LevelSub,10,,Gold,100,1
15,Level,Main,-1,LevelTitle2,LevelSub,30,,Gold,100,1
16,Level,Main,-1,LevelTitle2,LevelSub,50,,Gold,100,1
17,Level,Main,-1,LevelTitle3,LevelSub,100,,Gold,100,1
18,Level,Main,-1,LevelTitle4,LevelSub,200,,Gold,100,1
19,Level,Main,-1,LevelTitle5,LevelSub,300,,Gold,100,1
20,Star,Main,-1,StarTitle,StarSub,5,,Gold,100,1
21,Star,Main,-1,StarTitle,StarSub,10,,Gold,100,1
22,Star,Main,-1,StarTitle,StarSub,30,,Gold,100,1
23,Star,Main,-1,StarTitle,StarSub,50,,Gold,100,1
24,Star,Main,-1,StarTitle,StarSub,100,,Gold,100,1
25,Star,Main,-1,StarTitle,StarSub,200,,Gold,100,1
26,Star,Main,-1,StarTitle,StarSub,300,,Gold,100,1
27,Star,Main,-1,StarTitle,StarSub,400,,Gold,100,1
28,Star,Main,-1,StarTitle,StarSub,500,,Gold,100,1
29,TimeAttack,Main,0,TimeAttackTitle1,TimeAttackSub,300000,,Gold,100,1
30,TimeAttack,Main,0,TimeAttackTitle1,TimeAttackSub,180000,,Gold,100,1
31,TimeAttack,Main,0,TimeAttackTitle2,TimeAttackSub,60000,,Gold,100,1
32,TimeAttack,Main,0,TimeAttackTitle3,TimeAttackSub,30000,,Gold,100,1
33,TimeAttack,Main,1,TimeAttackTitle2,TimeAttackSub,300000,,Gold,100,1
34,TimeAttack,Main,1,TimeAttackTitle2,TimeAttackSub,180000,,Gold,100,1
35,TimeAttack,Main,1,TimeAttackTitle3,TimeAttackSub,60000,,Gold,100,1
37,TimeAttack,Main,1,TimeAttackTitle4,TimeAttackSub,30000,,Gold,100,1
38,TimeAttack,Main,2,TimeAttackTitle2,TimeAttackSub,300000,,Gold,100,1
39,TimeAttack,Main,2,TimeAttackTitle3,TimeAttackSub,180000,,Gold,100,1
40,TimeAttack,Main,2,TimeAttackTitle4,TimeAttackSub,60000,,Gold,100,1
41,TimeAttack,Main,2,TimeAttackTitle5,TimeAttackSub,30000,,Gold,100,1
42,Survival,Main,-1,SurvivalTitle1,SurvivalSub,100,,Gold,100,1
43,Survival,Main,-1,SurvivalTitle1,SurvivalSub,300,,Gold,100,1
44,Survival,Main,-1,SurvivalTitle2,SurvivalSub,500,,Gold,100,1
45,Survival,Main,-1,SurvivalTitle2,SurvivalSub,1000,,Gold,100,1
46,Survival,Main,-1,SurvivalTitle3,SurvivalSub,3000,,Gold,100,1
47,Survival,Main,-1,SurvivalTitle4,SurvivalSub,5000,,Gold,100,1
48,Survival,Main,-1,SurvivalTitle5,SurvivalSub,10000,,Gold,100,1
49,ItemUse,Daily,-1,ItemUseTitle,ItemUseSub,3,,Hint,1,1
50,StagePlay,Daily,-1,StagePlayTitle,StagePlaySub,3,,Hint,1,1
51,AdsFreeGold,Daily,-1,AdsFreeGoldTitle,AdsFreeGoldSub,1,,Gold,100,1
52,TimeAttackPlay,Daily,-1,TimeAttackPlayTitle,TimeAttackPlaySub,1,,TimeAttackTicket,3,1
53,SurvivalPlay,Daily,-1,SurvivalPlayTitle,SurvivalPlaySub,1,,Gold,100,1
