ID,CharID,OpenLevel,Gold
0,15,1,0
1,55,5,100
2,48,10,200
3,32,15,200
4,20,20,300
5,11,25,300
6,4,30,300
7,40,35,300
8,5,40,300
9,24,45,300
10,36,50,300
11,1,55,300
12,12,60,300
13,14,65,300
14,39,70,300
15,8,75,300
16,22,80,300
17,19,85,300
18,47,90,300
19,10,95,300
20,35,100,300
21,31,105,300
22,43,110,300
23,53,115,300
24,49,120,300
25,28,125,300
26,46,130,300
27,59,135,300
28,57,140,300
29,13,145,300
30,37,150,300
31,33,155,300
32,50,160,300
33,17,165,300
34,42,170,300
35,29,175,300
36,54,180,300
37,25,185,300
38,45,190,300
39,9,195,300
40,27,200,300
41,16,205,300
42,38,210,300
43,60,215,300
44,58,220,300
45,2,225,300
46,44,230,300
47,34,235,300
48,3,240,300
49,41,245,300
50,30,250,300
51,18,255,300
52,51,260,300
53,26,265,300
54,7,270,300
55,56,275,300
56,21,280,300
57,52,285,300
58,23,290,300
59,6,295,300
