ID,Name,Reward,Type,Value,GroupName,Rate
0,삼팔광땡,2000,0,-1,삼팔광땡,10
1,일팔광땡,1000,1,1,광땡,10
2,일삼광땡,1000,1,0,광땡,10
3,장땡,500,2,10,땡,20
4,구땡,500,2,9,땡,20
5,팔땡,500,2,8,땡,10
6,칠땡,500,2,7,땡,10
7,육땡,500,2,6,땡,10
8,오땡,500,2,5,땡,10
9,사땡,500,2,4,땡,10
10,삼땡,500,2,3,땡,10
11,이땡,500,2,2,땡,10
12,일땡,500,2,1,땡,10
13,알리,400,3,-1,알리,10
14,독사,350,4,-1,독사,20
15,구삥,300,5,-1,구삥,20
16,장삥,250,6,-1,장삥,20
17,장사,200,7,-1,장사,30
18,세륙,150,8,-1,세륙,40
19,갑오,100,9,-1,갑오,50
20,여덟 끗,50,10,8,끗,80
21,일곱 끗,50,10,7,끗,80
22,여섯 끗,50,10,6,끗,80
23,다섯 끗,50,10,5,끗,80
24,네 끗,50,10,4,끗,80
25,세 끗,50,10,3,끗,70
26,두 끗,50,10,2,끗,70
27,한 끗,50,10,1,끗,70
28,망통,10,11,-1,망통,50
